equi_steps:10000 steps:10000
m E Ec M Mc
100 -2.69292 0.0047075 0.944797 0.00089928
200 -2.69292 0.00332891 0.944797 0.000635925
300 -2.69292 0.00268977 0.944797 0.000513695
400 -2.69292 0.00235394 0.944797 0.000449676
500 -2.69292 0.00210544 0.944797 0.000402204
600 -2.69292 0.0018488 0.944797 0.000352807
700 -2.69292 0.00174377 0.944797 0.000332961
800 -2.69292 0.00160111 0.944797 0.000305541
900 -2.69292 0.00155297 0.944797 0.000296587
1000 -2.69292 0.00148878 0.944797 0.000284403
