T E C M X
3 -2.72095 0.000132134 0.948933 1.4525e-05
3.1 -2.64676 1.85243e-05 0.933922 2.51501e-06
3.2 -2.60939 8.11694e-06 0.926479 1.12811e-06
3.3 -2.54222 1.52571e-05 0.912237 2.30785e-06
3.4 -2.46002 3.54667e-05 0.893917 6.70268e-06
3.5 -2.41054 4.14555e-05 0.883124 8.07815e-06
3.6 -2.33128 3.0721e-05 0.864551 6.73578e-06
3.7 -2.24361 2.60844e-05 0.844074 5.33782e-06
3.8 -2.12396 5.40472e-05 0.811684 1.64e-05
3.9 -2.04092 5.65032e-05 0.789568 1.71238e-05
4 -1.924 9.29888e-05 0.756092 3.45806e-05
4.1 -1.80483 4.94057e-05 0.71822 2.00876e-05
4.2 -1.69155 6.5454e-05 0.678675 3.65137e-05
4.3 -1.54839 6.4259e-05 0.626103 4.52637e-05
4.4 -1.40289 0.000116989 0.558541 0.000146711
4.5 -1.20154 7.28278e-05 0.452093 0.000215165
4.6 -1.04058 7.0529e-05 0.318729 0.000313717
4.7 -0.930156 4.06152e-05 0.222883 0.000218591
4.8 -0.846237 1.25238e-05 0.0998015 0.000264432
4.9 -0.790781 8.514e-06 0.0249765 3.68328e-05
5 -0.760763 5.99996e-06 0.0309583 5.87684e-05
5.1 -0.731284 7.37966e-06 0.0194378 6.39597e-05
5.2 -0.715264 4.29424e-06 0.0315134 3.43792e-05
5.3 -0.694595 6.63793e-06 -0.00262219 6.85084e-05
5.4 -0.671046 4.65882e-06 0.00722528 3.78767e-05
5.5 -0.649239 6.45996e-06 0.0174478 2.43458e-05
5.6 -0.627811 5.91461e-06 -0.00332581 4.89843e-05
5.7 -0.621363 5.39539e-06 -0.0159364 2.11968e-05
5.8 -0.600785 2.87055e-06 -0.0081131 3.14867e-05
5.9 -0.588977 5.39876e-06 0.00461584 1.86212e-05
6 -0.573975 3.80552e-06 0.00301007 5.47241e-05
