equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
251 0.0365214 0.0365771
252 0.0360781 0.0359704
253 0.0356922 0.0353507
254 0.0351798 0.0345758
255 0.0346653 0.0338026
256 0.0342065 0.0330774
257 0.0337253 0.032335
258 0.0332818 0.0316638
259 0.0327875 0.0309883
260 0.0323146 0.0303724
261 0.0316991 0.0296411
262 0.03105 0.0289044
263 0.0305145 0.0282569
264 0.0299578 0.0276101
265 0.0293451 0.0268705
266 0.0286258 0.0260327
267 0.0278658 0.0251597
268 0.0271474 0.0243826
269 0.0262429 0.0234343
270 0.02563 0.0227676
271 0.024982 0.0220448
272 0.024491 0.021475
273 0.0239428 0.0209129
274 0.0234028 0.0202773
275 0.0228489 0.0196216
276 0.0222397 0.0189624
277 0.0217207 0.0183513
278 0.0214712 0.0179589
279 0.0211436 0.0175314
280 0.0208568 0.0170747
281 0.020705 0.0167639
282 0.020494 0.0163828
283 0.0202301 0.0159875
284 0.0199785 0.0156677
285 0.0196843 0.0152976
286 0.0193268 0.0148505
287 0.0192502 0.0146787
288 0.0190385 0.0144361
289 0.0190218 0.0143685
290 0.0189536 0.0142475
291 0.0189354 0.0141972
292 0.018936 0.014128
293 0.0189523 0.0140736
294 0.0187876 0.0139391
295 0.0185114 0.01377
296 0.0182311 0.0135502
297 0.0180076 0.0134371
298 0.0178999 0.0133662
299 0.0177069 0.0132548
300 0.0173325 0.0129312
301 0.0170004 0.0126088
302 0.0167139 0.0122942
303 0.0163265 0.0118745
304 0.0157695 0.0113975
305 0.0151555 0.0108664
306 0.0144264 0.0102961
307 0.0136963 0.00966326
308 0.0130548 0.00911704
309 0.0123567 0.00849639
310 0.0118136 0.00790837
311 0.011159 0.00720157
312 0.0104307 0.0064805
313 0.00963696 0.0056922
314 0.00892845 0.00499147
315 0.00836932 0.00446979
316 0.0076816 0.00386667
317 0.00696012 0.00321238
318 0.0063036 0.00265045
319 0.00581747 0.00220934
320 0.00536982 0.00176314
321 0.00494096 0.00141822
322 0.00456725 0.00108209
323 0.00445799 0.000912282
324 0.00431585 0.000694489
325 0.00434508 0.000576588
326 0.00423851 0.000384856
327 0.00406658 0.000134304
328 0.00388169 -0.000146652
329 0.00354585 -0.00052769
330 0.00316867 -0.000950557
331 0.00279362 -0.00135829
332 0.00243608 -0.00178173
333 0.0021339 -0.00219338
334 0.00186812 -0.00254834
335 0.00155244 -0.00287536
336 0.00120987 -0.00321285
337 0.000900475 -0.00351619
338 0.000490015 -0.00389421
339 0.000156895 -0.00424944
340 -0.000181182 -0.00460529
341 -0.000492737 -0.0048799
342 -0.000688358 -0.00511656
343 -0.000987886 -0.00544751
344 -0.00135345 -0.00577714
345 -0.00187903 -0.00626468
346 -0.00240216 -0.0066957
347 -0.00287281 -0.00712014
348 -0.00326866 -0.00746744
349 -0.00362823 -0.0077989
350 -0.00395051 -0.00809473
351 -0.00419609 -0.00837631
352 -0.00450356 -0.00871557
353 -0.00463737 -0.00880514
354 -0.00475492 -0.00886566
355 -0.00494094 -0.00899045
356 -0.00524907 -0.00917136
357 -0.00576714 -0.0095159
358 -0.00622113 -0.00978982
359 -0.00673389 -0.0101473
360 -0.00706348 -0.0104025
361 -0.00745195 -0.0107109
362 -0.00774013 -0.0109867
363 -0.00809091 -0.011331
364 -0.00835161 -0.0115961
365 -0.00864601 -0.0119398
366 -0.00892713 -0.0122636
367 -0.00923098 -0.0126549
368 -0.00943213 -0.0129669
369 -0.00966032 -0.0132518
370 -0.00983521 -0.0134711
371 -0.00996306 -0.0135657
372 -0.0101482 -0.0136795
373 -0.0102814 -0.0137694
374 -0.0104543 -0.0138863
375 -0.0104683 -0.0138729
376 -0.0105225 -0.0139287
377 -0.0105111 -0.0138432
378 -0.0105114 -0.0137403
379 -0.010532 -0.0136912
380 -0.0105231 -0.0135804
381 -0.0106153 -0.0134948
382 -0.0105433 -0.0133167
383 -0.0105499 -0.0131955
384 -0.0105114 -0.0129925
385 -0.010265 -0.0126186
386 -0.00985492 -0.0121069
387 -0.0093688 -0.0115307
388 -0.00890797 -0.0109739
389 -0.00861247 -0.0104712
390 -0.00837663 -0.0101169
391 -0.00813773 -0.00974842
392 -0.00791418 -0.00938258
393 -0.00744272 -0.00879687
394 -0.00698193 -0.00820155
395 -0.00656511 -0.00764103
396 -0.00626529 -0.00718378
397 -0.00604646 -0.0067598
398 -0.00578985 -0.00635783
399 -0.00560197 -0.00596512
400 -0.00542703 -0.00554224
401 -0.00512139 -0.00506426
402 -0.00472715 -0.00450378
403 -0.00434405 -0.0040052
404 -0.00385237 -0.00344997
405 -0.00332234 -0.00286309
406 -0.00267567 -0.00217778
