equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
970 0.0181345 0.0209864
971 0.0187344 0.021456
972 0.01957 0.0221126
973 0.0202681 0.0225786
974 0.0208179 0.022866
975 0.0212153 0.023015
976 0.0215562 0.0231737
977 0.0219044 0.0233504
978 0.0222835 0.0235928
979 0.0226129 0.0237811
980 0.0229929 0.0240513
981 0.0233604 0.0243531
982 0.0237981 0.0247376
983 0.0243796 0.0252149
984 0.0250357 0.0257485
985 0.0257309 0.0263336
986 0.026459 0.026962
987 0.0272117 0.0276242
988 0.0279587 0.0282424
989 0.0284854 0.0286479
990 0.0288149 0.0289864
991 0.0291487 0.0292976
992 0.0294838 0.0296385
993 0.0299577 0.0300853
994 0.0304797 0.030621
995 0.0310882 0.0311899
996 0.031674 0.031764
997 0.032207 0.0322141
998 0.0325727 0.0325375
999 0.0329028 0.0328357
