equi_steps:100 steps:10000
m E Ec M Mc
100 -1.27934 0.00135161 -0.0041483 0.00385032
200 -1.27934 0.00135613 -0.0041483 0.00371635
300 -1.27934 0.00130955 -0.0041483 0.00369767
400 -1.27934 0.001194 -0.0041483 0.00370037
500 -1.27934 0.00113738 -0.0041483 0.00361841
600 -1.27934 0.00109336 -0.0041483 0.00393947
700 -1.27934 0.00105604 -0.0041483 0.0039294
800 -1.27934 0.00100358 -0.0041483 0.00408179
900 -1.27934 0.000972353 -0.0041483 0.00396209
1000 -1.27934 0.00092923 -0.0041483 0.00401043
