T E C M X
3 -2.70746 9.89025e-06 -0.0186945 0.298361
3.1 -2.6572 1.30388e-05 0.0564526 0.281788
3.2 -2.60017 1.16216e-05 0.0190204 0.267016
3.3 -2.53944 2.37121e-05 0.0184943 0.251717
3.4 -2.47367 2.14538e-05 0.000231323 0.236879
3.5 -2.39479 2.56384e-05 -0.0527161 0.220244
3.6 -2.31654 2.45019e-05 0.0179199 0.205865
3.7 -2.22756 1.26795e-05 -0.000112915 0.19028
3.8 -2.13039 3.53043e-05 0.049129 0.17364
3.9 -2.02016 4.20669e-05 0.00250183 0.157606
4 -1.91141 4.1156e-05 1.83105e-06 0.14117
4.1 -1.77005 4.5533e-05 0.00181213 0.121865
4.2 -1.63238 3.88058e-05 -0.0928101 0.1009
4.3 -1.45497 3.44349e-05 0.000128784 0.0779254
4.4 -1.25678 7.41311e-05 -0.00536255 0.0503937
4.5 -1.06294 4.1603e-05 -0.0121997 0.0208001
4.6 -0.966388 1.05618e-05 -0.0359509 0.0034941
4.7 -0.93082 5.42463e-06 0.0138123 0.000870184
4.8 -0.902821 6.22704e-06 0.0150031 0.000375351
4.9 -0.863097 5.09101e-06 0.00119202 8.56169e-05
5 -0.842861 3.82555e-07 -0.00134583 0.000368784
5.1 -0.825817 1.21724e-06 0.00271179 6.28689e-05
5.2 -0.813917 4.18708e-07 -0.00998474 0.000106439
5.3 -0.798467 4.88963e-07 0.0084137 3.91471e-05
5.4 -0.786531 2.1717e-06 -0.0010083 1.43888e-05
5.5 -0.763663 4.40486e-07 0.00574341 2.27371e-05
5.6 -0.754254 1.18529e-07 -0.00780579 9.10773e-06
5.7 -0.748085 2.50359e-07 0.00119934 1.65885e-05
5.8 -0.736614 1.10901e-07 0.00739441 1.18019e-05
5.9 -0.726697 2.00393e-07 4.5166e-05 8.94344e-06
6 -0.715845 3.62537e-07 0.000911255 8.2013e-06
