equi_steps: 100 steps: 1000 steps_ps: 10
j Ecorr Mcoor
0 1 1
1 0.0230164 -0.506194
2 -0.00706177 0.143844
3 -0.0179811 0.0125685
4 0.0205249 -0.0507421
5 0.0481843 0.0546336
6 0.00167486 -0.0791249
7 -0.0136334 0.0285748
8 0.00522703 0.00555663
9 -0.00907472 -0.0316849
10 -0.000409324 0.00132807
11 0.0153007 0.0152022
12 0.0155874 0.00936853
13 0.0257304 -0.0156721
14 0.0287493 0.0523409
15 -0.0150488 -0.0237952
16 -0.0177299 0.0320165
17 -0.00153052 -0.00577048
18 0.00399568 0.0381043
19 0.00353142 -0.0321299
20 -0.0225479 0.00786388
21 -0.0674275 -0.0445377
22 0.015044 0.0260152
23 0.00165102 -0.0178278
24 0.0626937 0.0078967
25 -0.0268058 -0.0138828
26 -0.0413358 0.0160931
27 -0.0297389 0.00258477
28 -0.0123251 -0.0375267
29 0.02722 0.058237
30 -0.00845536 -0.0188572
31 -0.0331057 -0.0139599
32 -0.00782878 0.0200838
33 0.0115216 -0.017826
34 0.00942066 -0.0313091
35 -0.0245618 0.0397399
36 -0.025306 -0.0102566
37 0.0329915 -0.0327603
38 -0.00528627 0.00813946
39 -0.0271755 0.0295862
40 -0.0154729 -0.0442738
41 -0.0547721 0.0467499
42 0.0411321 -0.0649435
43 -0.0451548 0.0589702
44 -0.0189577 -0.0420388
45 -0.0188292 0.0299777
46 0.0302068 -0.0214995
47 -0.0388646 0.0448525
48 -0.0626951 -0.0928921
49 -0.0722786 0.0974792
50 0.0568657 -0.0678413
51 0.0537199 0.0406451
52 0.0371632 -0.0022864
53 -0.041288 -0.00330928
54 0.000495521 0.0463148
55 -0.012442 -0.0609103
56 0.0327583 0.017065
57 0.0313514 0.0218638
58 -0.0175432 -0.0171252
59 0.0667517 0.00278174
60 -0.065627 -0.008595
61 0.00564146 0.000693604
62 0.0216485 0.0295449
63 0.00907607 -0.0441569
64 0.00307914 -0.00883216
65 -0.00751681 0.0203493
66 -0.0268507 -0.0198389
67 -0.100156 0.00955672
68 0.0153047 0.0276418
69 0.050359 -0.0184142
70 0.0255688 0.0386551
71 0.0366867 -0.033505
72 -0.0153364 0.0148447
73 -0.0272953 0.048617
74 0.00521967 -0.0737379
75 0.00419625 0.0354426
76 0.0190877 0.014625
77 -0.0451258 -0.0356625
78 -0.0125514 0.0389456
79 0.036922 -0.0667329
80 0.0339501 0.0888049
81 0.010076 -0.0646109
82 -0.0606283 0.043439
83 0.0267273 -0.0275509
84 -0.029532 0.0258196
85 -0.00557704 -0.00582477
86 -0.0460286 0.0281778
87 0.0553107 -0.00809742
88 0.0246383 -0.00472776
89 -0.00761199 0.0207462
90 0.00727781 0.0503105
91 -0.0353221 -0.115553
92 0.052208 0.12293
93 -0.0521971 -0.100465
94 -0.00425205 0.0329478
95 -0.020881 -0.0169986
96 -0.0694916 0.0637641
97 -0.00507462 -0.0765603
98 -0.0186588 0.0837888
99 -0.0500905 -0.00551626
