equi_steps: 100 steps: 1000 steps_ps: 10
j Ecorr Mcoor
0 1 1
1 -0.0497122 0.129701
2 -0.00349314 0.0644234
3 0.00771523 -0.0286866
4 -0.0178627 -0.0439029
5 0.043623 0.0278576
6 -0.0022278 0.0307976
7 -0.0102032 0.0258567
8 -0.0384444 0.0269852
9 -0.0231643 0.0421171
10 0.00971869 -0.0113416
11 -0.00498279 0.0161945
12 0.00922524 0.00666421
13 -0.0036345 0.00358211
14 -0.0275191 0.0165851
15 0.0363382 -0.0107492
16 -0.0115518 0.0107874
17 0.0187755 0.0237543
18 0.0148966 0.0270713
19 -0.0259328 -0.0210523
20 -0.0244216 0.00643651
21 0.0306821 -0.0109594
22 0.0299924 0.0414646
23 -0.0717373 0.00756135
24 0.0359155 -0.0201701
25 -0.0249766 -0.0498366
26 -0.00173883 -0.0425918
27 -0.0334114 0.022272
28 -0.0274193 -0.0115769
29 0.0311799 -0.0312545
30 -0.0261343 -0.042514
31 0.0174126 0.0122784
32 0.00466348 -0.0470556
33 -0.0209056 -0.0375992
34 0.0349216 0.000899433
35 0.000164798 -0.0231551
36 0.0346065 0.00694369
37 -0.00691218 -0.0361404
38 0.00637135 -0.0226351
39 -0.0365752 0.00165473
40 0.0209587 0.0525969
41 -0.0162857 0.0162023
42 0.0185084 -0.00587231
43 -0.0303205 -0.0503928
44 0.0115401 -0.0308501
45 -0.0161897 -0.054914
46 0.0269937 -0.0414007
47 -0.0243725 -0.0131365
48 0.00775262 -0.0185367
49 0.0182349 0.0032582
50 0.0454423 0.000156906
51 -0.00308095 -0.00690779
52 -0.0263417 -0.00982418
53 -0.0082051 0.026629
54 -0.0564676 -0.0126856
55 0.0131132 -0.00960269
56 0.0451591 -0.0150366
57 -0.00803194 0.0459145
58 0.0061022 0.0319715
59 -0.0164242 0.0203041
60 -0.0485021 -0.0573639
61 0.0224136 0.046035
62 0.0398746 0.021875
63 -0.00612203 -0.0243114
64 0.0400693 0.00879447
65 -0.000255944 0.00575214
66 -0.0217524 0.019644
67 -0.0110128 0.00964708
68 0.0565634 0.030046
69 -0.0287671 0.0139515
70 0.0259473 0.0066428
71 0.0195342 -0.0291026
72 0.00874698 -0.0167859
73 0.0795107 0.0184044
74 -0.000687856 0.00700017
75 -0.067717 -0.00279358
76 0.042011 -0.056294
77 -0.0164786 -0.0662039
78 -0.0104417 -0.0455751
79 0.024693 -0.0268566
80 -0.0253881 0.000166277
81 -0.0578741 0.0187652
82 0.00863007 -0.0307489
83 -0.0217952 -0.0165964
84 -0.0338883 0.0130966
85 -0.0060204 -0.0514958
86 0.0133805 -0.0129718
87 -0.0249651 -0.0601427
88 -0.0160605 -0.0214652
89 -0.0126257 0.00582687
90 -0.00917379 0.0615835
91 0.0512709 0.0344423
92 -0.0231069 -0.048479
93 0.0121171 0.0144999
94 0.0360461 -0.0533254
95 -0.0121438 -0.00795337
96 0.0362488 1.92897e-05
97 0.00852091 0.0567175
98 0.0576598 0.0332451
99 -0.0463225 0.0253892
