T E C M X
1.5 -1.95104 1.26369e-05 5.24902e-06 0.64877
1.6 -1.92825 1.58908e-05 -0.00384509 0.59984
1.7 -1.89793 1.99828e-05 -3.13721e-05 0.553513
1.8 -1.85929 2.82251e-05 0.00381995 0.508593
1.9 -1.81008 3.32802e-05 -0.00183679 0.463749
2 -1.74533 4.57688e-05 -0.00922644 0.415187
2.1 -1.66121 5.82481e-05 -0.001349 0.358917
2.2 -1.54578 8.33572e-05 -0.0172697 0.27908
2.3 -1.33696 0.00011191 -0.00487146 0.0358805
2.4 -1.20907 6.24423e-05 0.00783276 0.00447676
2.5 -1.13547 2.75743e-05 0.0377706 0.00139263
2.6 -1.0378 4.08263e-05 -0.0357219 0.00118017
2.7 -0.974883 1.01124e-05 -0.0188685 0.000462254
2.8 -0.905914 1.25898e-05 -0.0175851 0.000190261
2.9 -0.881876 2.60237e-05 -0.00582812 0.000177815
3 -0.844061 4.18537e-06 0.0315403 0.000311364
3.1 -0.800566 1.07741e-05 -0.000241333 0.000121296
3.2 -0.752317 2.75482e-05 -0.023748 4.99478e-05
3.3 -0.728217 1.44784e-06 -0.0228578 7.66456e-05
3.4 -0.710598 5.74816e-06 0.0268903 3.14104e-05
3.5 -0.679657 1.06993e-06 0.0210089 8.171e-05
3.6 -0.660116 1.12292e-06 0.0074314 1.8601e-05
3.7 -0.62659 1.0136e-05 -0.00675183 6.46751e-05
3.8 -0.623251 1.07905e-06 0.00262061 0.000124392
3.9 -0.599968 7.83568e-06 -0.0287349 4.07968e-05
